281 2137
0 1 2.84
0 2 1.84
0 3 1.84
0 4 1.84
0 5 1.84
0 6 1.2
0 7 1.84
0 8 1.84
0 9 1.84
0 10 1.84
0 11 1.84
0 12 1.84
0 13 1.84
1 2 2.84
1 3 2.84
1 4 2.84
1 5 2.84
1 6 2.2
1 7 2.84
1 8 2.84
1 1 1.84
1 9 2.84
1 10 2.84
1 11 2.84
1 12 2.84
1 13 2.84
2 3 1.84
2 4 1.84
2 5 1.84
2 6 1.2
2 7 1.84
2 8 1.84
2 9 1.84
2 10 1.84
2 11 1.84
2 12 1.84
2 13 1.84
3 4 1.84
3 5 3.78666666667
3 6 1.2
3 7 1.84
3 8 1.84
3 9 1.84
3 10 1.84
3 11 1.84
3 12 1.84
3 13 1.84
4 5 1.84
4 6 1.2
4 7 1.84
4 8 1.84
4 9 1.84
4 10 1.84
4 11 1.84
4 12 1.84
4 13 1.84
5 6 1.2
5 7 1.84
5 8 1.84
5 9 1.84
5 10 1.84
5 11 1.84
5 12 1.84
5 13 1.84
6 7 1.2
6 8 1.2
6 9 1.2
6 10 1.2
6 11 1.2
6 12 1.2
6 13 1.2
7 8 1.84
7 9 1.84
7 10 1.84
7 11 1.84
7 12 1.84
7 13 1.84
8 9 1.84
8 10 1.84
8 11 1.84
8 12 1.84
8 13 1.84
9 10 1.84
9 11 1.84
9 12 1.84
9 13 1.84
10 11 1.84
10 12 1.84
10 13 1.84
11 12 1.84
11 13 1.84
12 13 1.84
14 15 1.84
14 16 1.84
14 17 1.84
14 18 1.84
14 19 1.84
14 20 1.84
14 21 1.84
14 22 1.68
14 23 1.84
14 24 1.84
14 25 1.84
14 26 1.84
14 27 1.84
14 28 1.84
15 16 1.84
15 17 1.84
15 18 1.84
15 19 1.84
15 20 1.84
15 21 1.84
15 22 1.68
15 23 1.84
15 24 1.84
15 25 1.84
15 26 1.84
15 27 1.84
15 28 1.84
16 17 1.84
16 18 1.84
16 19 1.84
16 20 1.84
16 21 1.84
16 22 1.68
16 23 1.84
16 24 1.84
16 25 1.84
16 26 1.84
16 27 1.84
16 28 1.84
17 18 1.84
17 19 1.84
17 20 1.84
17 21 1.84
17 22 1.68
17 23 1.84
17 24 1.84
17 25 1.84
17 26 1.84
17 27 1.84
17 28 1.84
18 19 1.84
18 20 1.84
18 21 1.84
18 22 1.68
18 23 1.84
18 24 1.84
18 25 1.84
18 26 1.84
18 27 1.84
18 28 1.84
19 20 1.84
19 21 1.84
19 22 1.68
19 23 1.84
19 24 1.84
19 25 1.84
19 26 1.84
19 27 1.84
19 28 1.84
20 21 1.84
20 22 1.68
20 23 1.84
20 24 1.84
20 25 1.84
20 26 1.84
20 27 1.84
20 28 1.84
21 22 1.68
21 23 1.84
21 24 1.84
21 25 1.84
21 26 1.84
21 27 1.84
21 28 1.84
22 23 1.68
22 24 1.68
22 25 1.68
22 26 1.68
22 27 1.68
22 28 1.68
23 24 1.84
23 25 1.84
23 26 1.84
23 27 1.84
23 28 1.84
24 25 1.84
24 26 1.84
24 27 1.84
24 28 1.84
25 26 1.84
25 27 1.84
25 28 1.84
26 27 1.84
26 28 1.84
27 28 1.84
29 30 1.2
29 31 1.2
29 32 1.2
29 33 1.2
29 34 1.2
29 35 1.36
29 36 1.2
29 37 1.2
29 38 1.2
29 39 1.2
29 40 1.36
29 41 1.2
29 42 1.2
29 11 1.36
30 31 1.84
30 32 1.84
30 33 1.84
30 34 1.84
30 35 1.68
30 36 1.84
30 37 1.84
30 38 1.84
30 39 1.84
30 40 1.68
30 41 1.84
30 42 1.84
30 11 1.68
31 32 1.84
31 33 1.84
31 34 1.84
31 35 1.68
31 36 1.84
31 37 1.84
31 38 1.84
31 39 1.84
31 40 1.68
31 41 1.84
31 42 1.84
31 11 1.68
32 33 1.84
32 34 1.84
32 35 1.68
32 36 1.84
32 37 1.84
32 38 1.84
32 39 1.84
32 40 1.68
32 41 1.84
32 42 1.84
32 11 1.68
33 34 1.84
33 35 1.68
33 36 1.84
33 37 1.84
33 38 1.84
33 39 1.84
33 40 1.68
33 41 1.84
33 42 1.84
33 11 1.68
34 35 1.68
34 36 1.84
34 37 1.84
34 38 1.84
34 39 1.84
34 40 1.68
34 41 1.84
34 42 1.84
34 11 1.68
35 36 1.68
35 37 1.68
35 38 1.68
35 39 1.68
35 40 1.84
35 41 1.68
35 42 1.68
35 11 1.84
36 37 1.84
36 38 1.84
36 39 1.84
36 40 1.68
36 41 1.84
36 42 1.84
36 11 1.68
37 38 1.84
37 39 1.84
37 40 1.68
37 41 1.84
37 42 1.84
37 11 1.68
38 39 1.84
38 40 1.68
38 41 1.84
38 42 1.84
38 11 1.68
39 40 1.68
39 41 1.84
39 42 1.84
39 11 1.68
40 41 1.68
40 42 1.68
40 11 1.84
41 42 1.84
41 11 1.68
42 11 1.68
43 44 1.84
43 45 1.84
43 46 1.84
43 47 1.84
43 48 1.84
43 49 1.84
43 50 1.84
43 51 1.2
43 52 1.36
43 53 1.84
43 54 1.68
43 55 1.52
43 56 1.84
43 57 1.84
44 45 1.84
44 46 1.84
44 47 1.84
44 48 1.84
44 49 1.84
44 50 1.84
44 51 1.2
44 52 1.36
44 53 1.84
44 54 1.68
44 55 1.52
44 56 1.84
44 57 1.84
45 46 1.84
45 47 1.84
45 48 1.84
45 49 1.84
45 50 1.84
45 51 1.2
45 52 1.36
45 53 1.84
45 54 1.68
45 55 1.52
45 56 1.84
45 57 1.84
46 47 1.84
46 48 1.84
46 49 1.84
46 50 1.84
46 51 1.2
46 52 1.36
46 53 1.84
46 54 1.68
46 55 1.52
46 56 1.84
46 57 1.84
47 48 1.84
47 49 1.84
47 50 1.84
47 51 1.2
47 52 1.36
47 53 1.84
47 54 1.68
47 55 1.52
47 56 1.84
47 57 1.84
48 49 1.84
48 50 1.84
48 51 1.2
48 52 1.36
48 53 1.84
48 54 1.68
48 55 1.52
48 56 1.84
48 57 1.84
49 50 1.84
49 51 1.2
49 52 1.36
49 53 1.84
49 54 1.68
49 55 1.52
49 56 1.84
49 57 1.84
50 51 1.2
50 52 1.36
50 53 1.84
50 54 1.68
50 55 1.52
50 56 1.84
50 57 1.84
51 52 1.68
51 53 1.2
51 54 1.36
51 55 1.52
51 56 1.2
51 57 1.2
52 53 1.36
52 54 1.52
52 55 1.68
52 56 1.36
52 57 1.36
53 54 1.68
53 55 1.52
53 56 1.84
53 57 1.84
54 55 1.68
54 56 1.68
54 57 1.68
55 56 1.52
55 57 1.52
56 57 1.84
58 59 1.68
58 60 1.84
58 61 1.84
58 62 1.84
58 63 1.84
58 64 1.84
58 65 1.84
58 66 1.84
58 67 1.84
58 68 1.84
58 69 1.84
58 70 1.84
58 71 1.84
58 72 1.84
59 60 1.68
59 61 1.68
59 62 1.68
59 63 1.68
59 64 1.68
59 65 1.68
59 66 1.68
59 67 1.68
59 68 1.68
59 69 1.68
59 70 1.68
59 71 1.68
59 72 1.68
60 61 1.84
60 62 1.84
60 63 1.84
60 64 1.84
60 65 1.84
60 66 1.84
60 67 1.84
60 68 1.84
60 69 1.84
60 70 1.84
60 71 1.84
60 72 1.84
61 62 1.84
61 63 1.84
61 64 1.84
61 65 1.84
61 66 1.84
61 67 1.84
61 68 1.84
61 69 1.84
61 70 1.84
61 71 1.84
61 72 1.84
62 63 1.84
62 64 1.84
62 65 1.84
62 66 1.84
62 67 1.84
62 68 1.84
62 69 1.84
62 70 1.84
62 71 1.84
62 72 1.84
63 64 1.84
63 65 1.84
63 66 1.84
63 67 1.84
63 68 1.84
63 69 1.84
63 70 1.84
63 71 1.84
63 72 1.84
64 65 1.84
64 66 1.84
64 67 1.84
64 68 1.84
64 69 1.84
64 70 1.84
64 71 1.84
64 72 1.84
65 66 1.84
65 67 1.84
65 68 1.84
65 69 1.84
65 70 1.84
65 71 1.84
65 72 1.84
66 67 1.84
66 68 1.84
66 69 1.84
66 70 1.84
66 71 1.84
66 72 1.84
67 68 1.84
67 69 1.84
67 70 1.84
67 71 1.84
67 72 1.84
68 69 1.84
68 70 1.84
68 71 1.84
68 72 1.84
69 70 1.84
69 71 1.84
69 72 1.84
70 71 1.84
70 72 1.84
71 72 1.84
73 74 1.68
73 75 1.68
73 76 1.84
73 77 1.68
73 78 2.68
73 79 1.68
73 80 1.68
73 41 1.68
73 81 1.68
73 82 1.68
73 83 1.68
73 3 1.68
73 84 1.68
74 75 1.84
74 76 1.68
74 77 1.84
74 78 2.84
74 79 1.84
74 80 1.84
74 41 1.84
74 81 1.84
74 82 1.84
74 83 1.84
74 3 1.84
74 84 1.52
75 76 1.68
75 77 1.84
75 78 2.84
75 79 1.84
75 80 1.84
75 41 1.84
75 81 1.84
75 82 1.84
75 83 1.84
75 3 1.84
75 84 1.52
76 77 1.68
76 78 2.68
76 79 1.68
76 80 1.68
76 41 1.68
76 81 1.68
76 82 1.68
76 83 1.68
76 3 1.68
76 84 1.68
77 78 2.84
77 79 1.84
77 80 1.84
77 41 1.84
77 81 1.84
77 82 1.84
77 83 1.84
77 3 1.84
77 84 1.52
78 79 2.84
78 80 2.84
78 41 2.84
78 78 1.84
78 81 2.84
78 82 2.84
78 83 2.84
78 3 2.84
78 84 2.52
79 80 1.84
79 41 1.84
79 81 1.84
79 82 1.84
79 83 1.84
79 3 1.84
79 84 1.52
80 41 1.84
80 81 1.84
80 82 1.84
80 83 1.84
80 3 1.84
80 84 1.52
41 81 1.84
41 82 1.84
41 83 1.84
41 3 2.76
41 84 1.52
81 82 1.84
81 83 1.84
81 3 1.84
81 84 1.52
82 83 1.84
82 3 1.84
82 84 1.52
83 3 1.84
83 84 1.52
3 84 1.52
85 86 1.84
85 87 1.68
